LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C316054,0603ESDA-05N,BORN,603,50V Bi-Directional 5V 0603  ESD and Surge Protection (TVS/ESD) ROHS,YES,100,50\50,0.0183,1.83
C67724,"TLP2301(TPL,E",TOSHIBA,SOP-4-2.54mm,30us DC SOP-4-2.54mm  Logic Output Optoisolators ROHS,YES,5,5\5,0.2653,1.33
C2930263,FRC0805J273TS,FOJAN,805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 27kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0013,0.13
C2933343,FRC0805F17R4TS,FOJAN,805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 17.4Ω 0805  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0017,0.17
C181119,MMBT3904,Guangdong Hottech,SOT-23,"40V 200mW 100@10mA,1V 200mA NPN SOT-23  Bipolar (BJT) ROHS",YES,200,100\100,0.0063,1.26
C3017998,SCR1206J180R,VO,1206,250mW Thick Film Resistors 200V ±5% 180Ω 1206  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0021,0.21
C3018015,SCR1206J1K,VO,1206,250mW Thick Film Resistors 200V ±5% 1kΩ 1206  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0021,0.21
C3013388,FRP2512J470 TS,FOJAN,2512,2W Thick Film Resistors 200V ±200ppm/℃ ±5% 47Ω 2512  Chip Resistor - Surface Mount ROHS,YES,20,20\20,0.0279,0.56
C2900953,BTB16-800CW,WEIDA,TO-220,800V 1个双向可控硅 TO-220  Thyristors (SCR)/Modules ROHS,YES,10,5\5,0.2436,2.44
C282861,TCC1206X7R333K501FT,CCTC,1206,500V 33nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.0171,0.86
C18723575,L293D(XBLW),XBLW,DIP-16, DIP-16  Stepping Motor Drivers ROHS,YES,6,1\1,0.4041,2.42
